nSeq	I1	I2	O1	O2	A1	A2	A3	A4	A5	A6
15	0	0	1	0	507	539	0	536	39	5
0	0	0	1	0	515	501	0	449	39	6
1	0	0	1	0	512	512	0	585	39	6
2	0	0	1	0	512	517	0	445	38	6
3	0	0	1	0	510	495	0	574	39	6
4	0	0	1	0	524	524	0	449	39	6
5	0	0	1	0	504	518	0	622	39	6
6	0	0	1	0	519	520	0	448	38	6
7	0	0	1	0	512	516	0	581	39	6
8	0	0	1	0	516	524	0	448	39	6
9	0	0	1	0	513	516	0	583	39	6
10	0	0	1	0	519	532	0	443	38	6
11	0	0	1	0	522	531	0	582	39	6
12	0	0	1	0	513	540	0	441	39	6
13	0	0	1	0	511	507	0	601	39	6
14	0	0	1	0	518	514	0	449	38	6
15	0	0	1	0	505	504	0	595	39	6
0	0	0	1	0	514	519	0	440	39	6
1	0	0	1	0	513	529	0	573	39	6
2	0	0	1	0	521	548	0	442	38	6
3	0	0	1	0	512	501	0	572	39	6
4	0	0	1	0	521	517	0	441	39	6
5	0	0	1	0	504	511	0	626	39	6
6	0	0	1	0	512	517	0	461	38	6
7	0	0	1	0	510	479	0	655	39	6
8	0	0	1	0	519	520	0	438	39	6
9	0	0	1	0	513	604	0	653	39	6
10	0	0	1	0	520	629	0	432	38	6
11	0	0	1	0	513	499	0	556	39	6
12	0	0	1	0	516	449	0	423	39	6
13	0	0	1	0	514	496	0	527	39	6
14	0	0	1	0	521	510	0	417	38	6
15	0	0	1	0	509	526	0	630	39	6
0	0	0	1	0	519	510	0	428	39	6
1	0	0	1	0	515	509	0	556	39	6
2	0	0	1	0	524	515	0	422	38	6
3	0	0	1	0	511	513	0	543	39	6
4	0	0	1	0	518	483	0	423	39	6
5	0	0	1	0	512	456	0	565	39	6
6	0	0	1	0	522	600	0	436	38	6
7	0	0	1	0	507	531	0	648	39	6
8	0	0	1	0	517	525	0	431	39	6
9	0	0	1	0	512	550	0	607	39	6
10	0	0	1	0	521	518	0	422	38	6
11	0	0	1	0	510	531	0	585	39	6
12	0	0	1	0	509	511	0	437	39	6
13	0	0	1	0	508	503	0	839	39	6
14	0	0	1	0	515	560	0	430	38	6
15	0	0	1	0	510	514	0	607	39	6
0	0	0	1	0	518	575	0	408	39	6
1	0	0	1	0	513	542	0	866	39	6
2	0	0	1	0	522	502	0	410	38	6
3	0	0	1	0	508	497	0	907	39	6
4	0	0	1	0	515	477	0	391	39	6
5	0	0	1	0	511	486	0	931	39	6
6	0	0	1	0	515	485	0	368	38	6
7	0	0	1	0	504	476	0	639	39	6
8	0	0	1	0	518	497	0	334	39	6
9	0	0	1	0	511	476	0	764	39	6
10	0	0	1	0	518	495	0	338	38	6
11	0	0	1	0	507	486	0	1018	39	6
12	0	0	1	0	508	508	0	353	39	6
13	0	0	1	0	508	481	0	1018	39	6
14	0	0	1	0	516	519	0	350	38	6
15	0	0	1	0	510	503	0	1018	39	6
0	0	0	1	0	523	502	0	273	39	6
1	0	0	1	0	513	526	0	749	39	6
2	0	0	1	0	515	518	0	178	38	6
3	0	0	1	0	511	502	0	1018	39	6
4	0	0	1	0	519	528	0	184	39	6
5	0	0	1	0	511	517	0	487	39	6
6	0	0	1	0	519	540	0	167	38	6
7	0	0	1	0	504	529	0	673	39	6
8	0	0	1	0	519	531	0	202	39	6
9	0	0	1	0	505	492	0	510	39	6
10	0	0	1	0	526	510	0	215	38	6
11	0	0	1	0	511	519	0	620	39	6
12	0	0	1	0	524	519	0	234	39	6
13	0	0	1	0	506	526	0	710	39	6
14	0	0	1	0	518	511	0	262	38	6
15	0	0	1	0	505	499	0	579	39	6
0	0	0	1	0	521	520	0	257	39	6
1	0	0	1	0	511	508	0	486	39	6
2	0	0	1	0	518	504	0	276	38	6
3	0	0	1	0	510	511	0	495	39	6
4	0	0	1	0	515	518	0	294	39	5
5	0	0	1	0	504	508	0	651	39	6
6	0	0	1	0	518	502	0	318	38	5
7	0	0	1	0	515	526	0	556	39	6
8	0	0	1	0	515	526	0	337	39	5
9	0	0	1	0	510	519	0	781	39	5
10	0	0	1	0	519	515	0	358	38	5
11	0	0	1	0	512	507	0	590	39	5
12	0	0	1	0	523	500	0	345	39	5
13	0	0	1	0	506	500	0	765	39	5
14	0	0	1	0	520	487	0	361	38	5
15	0	0	1	0	517	508	0	675	39	5
0	0	0	1	0	519	512	0	357	39	5
1	0	0	1	0	504	515	0	558	39	5
2	0	0	1	0	513	521	0	350	38	5
3	0	0	1	0	499	590	0	582	39	5
4	0	0	1	0	523	589	0	368	39	5
5	0	0	1	0	511	465	0	510	39	5
6	0	0	1	0	519	444	0	376	38	5
7	0	0	1	0	510	504	0	760	39	5
8	0	0	1	0	517	485	0	400	39	5
9	0	0	1	0	507	525	0	732	39	5
10	0	0	1	0	516	500	0	394	38	5
11	0	0	1	0	509	509	0	651	39	5
12	0	0	1	0	508	521	0	388	39	5
13	0	0	1	0	506	514	0	759	39	5
14	0	0	1	0	519	498	0	400	38	5
15	0	0	1	0	502	505	0	831	39	5
0	0	0	1	0	517	500	0	397	39	5
1	0	0	1	0	508	515	0	877	39	5
2	0	0	1	0	516	553	0	387	38	5
3	0	0	1	0	507	497	0	1018	39	5
4	0	0	1	0	519	545	0	387	39	5
5	0	0	1	0	510	531	0	528	39	5
6	0	0	1	0	518	525	0	338	38	5
7	0	0	1	0	505	524	0	630	39	5
8	0	0	1	0	524	555	0	352	39	5
9	0	0	1	0	507	529	0	622	39	5
10	0	0	1	0	509	542	0	361	38	5
11	0	0	1	0	508	542	0	727	39	5
12	0	0	1	0	519	525	0	370	39	6
13	0	0	1	0	512	546	0	533	39	6
14	0	0	1	0	512	515	0	372	38	6
15	0	0	1	0	510	525	0	867	39	6
0	0	0	1	0	521	500	0	395	39	6
1	0	0	1	0	507	472	0	541	39	6
2	0	0	1	0	521	489	0	372	38	6
3	0	0	1	0	510	482	0	737	39	6
4	0	0	1	0	523	512	0	393	39	6
5	0	0	1	0	507	503	0	805	39	6
6	0	0	1	0	515	515	0	395	38	6
7	0	0	1	0	508	504	0	756	39	6
8	0	0	1	0	516	515	0	392	39	6
9	0	0	1	0	504	504	0	940	39	6
10	0	0	1	0	519	515	0	388	38	6
11	0	0	1	0	504	502	0	701	39	6
12	0	0	1	0	512	512	0	367	39	6
13	0	0	1	0	497	514	0	923	39	6
14	0	0	1	0	524	515	0	382	38	6
15	0	0	1	0	511	518	0	721	39	6
0	0	0	1	0	521	520	0	353	39	6
1	0	0	1	0	508	519	0	1017	39	6
2	0	0	1	0	515	542	0	380	38	6
3	0	0	1	0	510	497	0	619	39	6
4	0	0	1	0	519	504	0	334	39	6
5	0	0	1	0	504	514	0	984	38	6
6	0	0	1	0	519	524	0	359	38	6
7	0	0	1	0	505	525	0	1018	38	6
8	0	0	1	0	519	525	0	358	39	6
9	0	0	1	0	508	513	0	964	38	6
10	0	0	1	0	522	529	0	322	38	6
11	0	0	1	0	514	499	0	1018	38	6
12	0	0	1	0	510	515	0	325	39	6
13	0	0	1	0	507	505	0	660	39	6
14	0	0	1	0	520	498	0	276	38	6
15	0	0	1	0	513	532	0	1018	39	6
0	0	0	1	0	518	506	0	365	39	6
1	0	0	1	0	509	522	0	1018	39	6
2	0	0	1	0	517	532	0	467	38	6
3	0	0	1	0	512	511	0	1018	39	6
4	0	0	1	0	516	519	0	217	39	6
5	0	0	1	0	508	520	0	214	39	6
6	0	0	1	0	515	519	0	54	38	6
7	0	0	1	0	509	515	0	347	39	6
8	0	0	1	0	517	539	0	124	39	6
9	0	0	1	0	507	497	0	393	39	6
10	0	0	1	0	518	507	0	177	38	6
11	0	0	1	0	510	502	0	392	39	6
12	0	0	1	0	512	486	0	222	39	6
13	0	0	1	0	506	516	0	625	39	6
14	0	0	1	0	512	503	0	264	38	6
15	0	0	1	0	512	517	0	465	39	6
0	0	0	1	0	521	501	0	281	39	6
1	0	0	1	0	518	504	0	667	38	6
2	0	0	1	0	520	590	0	330	38	6
3	0	0	1	0	509	600	0	999	38	6
4	0	0	1	0	511	522	0	364	39	6
5	0	0	1	0	512	456	0	585	39	6
6	0	0	1	0	514	497	0	319	38	6
7	0	0	1	0	507	476	0	567	39	6
8	0	0	1	0	521	511	0	327	39	6
9	0	0	1	0	517	500	0	540	39	6
10	0	0	1	0	519	518	0	352	38	6
11	0	0	1	0	510	530	0	624	39	6
12	0	0	1	0	516	524	0	376	39	6
13	0	0	1	0	510	541	0	545	39	6
14	0	0	1	0	523	526	0	367	38	6
15	0	0	1	0	504	505	0	616	39	6
0	0	0	1	0	515	547	0	393	39	6
1	0	0	1	0	510	489	0	584	39	6
2	0	0	1	0	514	531	0	404	38	6
3	0	0	1	0	511	534	0	668	39	6
4	0	0	1	0	521	502	0	409	39	6
5	0	0	1	0	501	561	0	643	39	6
6	0	0	1	0	523	535	0	424	38	6
7	0	0	1	0	511	507	0	572	39	6
8	0	0	1	0	514	569	0	418	39	6
9	0	0	1	0	507	532	0	557	39	6
10	0	0	1	0	521	528	0	422	38	6
11	0	0	1	0	516	549	0	643	39	6
12	0	0	1	0	511	484	0	433	39	6
13	0	0	1	0	502	467	0	646	39	6
14	0	0	1	0	517	526	0	446	38	6
15	0	0	1	0	513	494	0	678	39	6
0	0	0	1	0	513	496	0	450	39	6
1	0	0	1	0	507	552	0	883	39	6
2	0	0	1	0	519	481	0	478	38	6
3	0	0	1	0	515	437	0	873	38	6
4	0	0	1	0	519	472	0	443	39	6
5	0	0	1	0	506	475	0	1005	39	6
6	0	0	1	0	516	516	0	454	38	6
7	0	0	1	0	513	510	0	1018	39	6
8	0	0	1	0	515	516	0	447	39	6
9	0	0	1	0	510	501	0	1018	38	6
10	0	0	1	0	519	511	0	513	38	6
11	0	0	1	0	511	484	0	1018	39	6
12	0	0	1	0	517	497	0	456	39	6
13	0	0	1	0	507	519	0	1018	39	6
14	0	0	1	0	523	530	0	654	38	6
15	0	0	1	0	509	512	0	1018	38	6
0	0	0	1	0	511	523	0	291	39	6
1	0	0	1	0	519	511	0	1018	38	6
2	0	0	1	0	514	494	0	422	38	6
3	0	0	1	0	508	521	0	1018	39	6
4	0	0	1	0	521	531	0	377	39	6
5	0	0	1	0	505	520	0	1018	38	6
6	0	0	1	0	520	496	0	339	39	6
