nSeq	I1	I2	O1	O2	A1	A2	A3	A4	A5	A6
15	0	0	1	0	516	544	0	512	38	0
0	0	0	1	0	523	509	0	510	38	0
1	0	0	1	0	512	539	0	510	38	0
2	0	0	1	0	511	509	0	516	38	0
3	0	0	1	0	509	595	0	505	38	0
4	0	0	1	0	515	750	0	510	37	0
5	0	0	1	0	512	701	0	509	38	0
6	0	0	1	0	515	494	0	508	37	0
7	0	0	1	0	517	445	0	512	38	0
8	0	0	1	0	519	453	0	510	37	0
9	0	0	1	0	511	490	0	507	38	0
10	0	0	1	0	519	492	0	518	38	0
11	0	0	1	0	512	496	0	511	38	0
12	0	0	1	0	515	483	0	513	38	0
13	0	0	1	0	512	517	0	504	38	0
14	0	0	1	0	519	514	0	502	38	0
15	0	0	1	0	520	491	0	504	38	0
0	0	0	1	0	519	505	0	514	38	0
1	0	0	1	0	511	499	0	516	38	0
2	0	0	1	0	507	488	0	514	38	0
3	0	0	1	0	511	546	0	509	38	0
4	0	0	1	0	519	513	0	513	38	0
5	0	0	1	0	514	532	0	512	38	0
6	0	0	1	0	512	522	0	515	38	0
7	0	0	1	0	513	561	0	509	38	0
8	0	0	1	0	518	560	0	512	38	0
9	0	0	1	0	515	594	0	510	38	0
10	0	0	1	0	517	544	0	513	38	0
11	0	0	1	0	512	550	0	511	38	0
12	0	0	1	0	515	550	0	508	38	0
13	0	0	1	0	515	523	0	510	38	0
14	0	0	1	0	515	504	0	518	38	0
15	0	0	1	0	520	512	0	514	37	0
0	0	0	1	0	516	482	0	517	37	0
1	0	0	1	0	521	491	0	513	37	0
2	0	0	1	0	514	466	0	513	38	0
3	0	0	1	0	519	427	0	516	38	0
4	0	0	1	0	507	474	0	511	38	0
5	0	0	1	0	513	431	0	512	39	0
6	0	0	1	0	512	476	0	513	39	0
7	0	0	1	0	520	490	0	517	39	0
8	0	0	1	0	521	451	0	518	38	0
9	0	0	1	0	525	483	0	523	38	0
10	0	0	1	0	516	480	0	519	38	0
11	0	0	1	0	524	493	0	512	38	0
12	0	0	1	0	515	512	0	511	38	0
13	0	0	1	0	512	534	0	510	38	0
14	0	0	1	0	515	503	0	519	38	0
15	0	0	1	0	515	489	0	516	38	0
0	0	0	1	0	518	513	0	516	38	0
1	0	0	1	0	525	518	0	513	38	0
2	0	0	1	0	519	519	0	501	38	0
3	0	0	1	0	515	542	0	510	38	0
4	0	0	1	0	518	504	0	510	38	0
5	0	0	1	0	516	510	0	513	38	0
6	0	0	1	0	517	513	0	518	38	0
7	0	0	1	0	517	510	0	514	38	0
8	0	0	1	0	519	522	0	509	38	0
9	0	0	1	0	518	509	0	512	38	0
10	0	0	1	0	519	497	0	510	38	0
11	0	0	1	0	524	491	0	515	38	0
12	0	0	1	0	517	486	0	526	38	0
13	0	0	1	0	522	479	0	511	38	0
14	0	0	1	0	521	476	0	512	38	0
15	0	0	1	0	521	487	0	516	38	0
0	0	0	1	0	515	470	0	507	38	0
1	0	0	1	0	516	596	0	510	38	0
2	0	0	1	0	516	739	0	521	38	0
3	0	0	1	0	520	709	0	514	38	0
4	0	0	1	0	521	446	0	511	38	0
5	0	0	1	0	513	383	0	519	38	0
6	0	0	1	0	514	438	0	518	38	0
7	0	0	1	0	520	440	0	512	38	0
8	0	0	1	0	514	476	0	511	38	0
9	0	0	1	0	518	468	0	518	38	0
10	0	0	1	0	521	448	0	512	38	0
11	0	0	1	0	523	450	0	510	38	0
12	0	0	1	0	511	472	0	523	38	0
13	0	0	1	0	516	470	0	513	38	0
14	0	0	1	0	515	491	0	512	38	0
15	0	0	1	0	512	462	0	512	38	0
0	0	0	1	0	525	490	0	511	38	0
1	0	0	1	0	515	506	0	512	38	0
2	0	0	1	0	519	520	0	510	38	0
3	0	0	1	0	518	503	0	513	38	0
4	0	0	1	0	519	479	0	514	38	0
5	0	0	1	0	513	534	0	513	38	0
6	0	0	1	0	513	535	0	511	38	0
7	0	0	1	0	510	577	0	506	38	0
8	0	0	1	0	512	554	0	510	38	0
9	0	0	1	0	518	549	0	516	38	0
10	0	0	1	0	515	547	0	522	38	0
11	0	0	1	0	517	520	0	511	38	0
